1579529055,-39.91,-9.19
1579529085,-39.47,-9.79
1579529125,-37.33,-9.75
1579529136,-36.07,-8.71
1579529276,-38.23,-9.79
1579529336,-37.15,-9.57
1579529346,-38.85,-9.05
1579529356,-37.51,-9.45
1579529366,-36.43,-9.41
1579529407,-37.33,-9.67
1579529427,-40.73,-9.97
1579529437,-39.97,-9.19
1579529447,-37.15,-7.91
1579529467,-39.29,-9.97
1579529577,-37.45,-9.23
1579529598,-40.15,-9.97
1579529609,-39.15,-9.71
1579529619,-38.97,-9.79
1579529669,-39.15,-9.61
1579529709,-39.35,-9.05
1579529719,-35.95,-7.87
1579529730,-35.71,-7.69
1579529740,-35.23,-7.95
1579529750,-37.63,-8.75
1579529780,-36.37,-8.71
1579529790,-36.61,-9.49
1579529800,-36.13,-9.49
1579529811,-40.79,-9.49
1579529821,-38.43,-9.61
1579529831,-36.37,-7.83
1579529841,-39.23,-8.17
1579529851,-37.15,-9.41
1579529861,-36.25,-7.91
1579529872,-36.31,-9.93
1579529882,-39.65,-8.63
1579529892,-40.03,-8.63
1579529902,-39.47,-9.71
1579529922,-36.49,-7.53
1579529932,-36.97,-8.71
1579529943,-35.47,-7.73
1579529953,-36.55,-6.47
1579529963,-35.13,-6.39
1579529973,-35.13,-6.47
1579529983,-36.85,-7.57
1579529993,-36.01,-7.65
1579530003,-36.61,-6.19
1579530014,-38.17,-6.27
1579530024,-38.29,-7.15
1579530034,-42.05,-6.51
1579530044,-38.35,-7.49
1579530054,-39.71,-7.61
1579530064,-39.85,-7.01
1579530074,-39.23,-7.39
1579530084,-35.41,-7.73
1579530094,-39.79,-7.23
1579530104,-41.93,-6.97
1579530144,-40.85,-8.29
1579530165,-36.37,-8.29
1579530185,-43.81,-8.29
1579530205,-42.31,-7.99
1579530215,-37.87,-8.17
1579530225,-37.51,-7.77
1579530235,-35.53,-6.77
1579530276,-39.79,-8.85
1579530286,-43.41,-8.93
1579530296,-41.67,-7.83
1579530306,-41.55,-7.65
1579530316,-40.35,-7.39
1579530326,-38.05,-8.33
1579530337,-38.05,-7.61
1579530347,-35.71,-7.19
1579530357,-36.25,-6.77
1579530367,-34.95,-7.39
1579530377,-34.77,-9.01
1579530387,-34.77,-7.95
1579530398,-35.13,-7.49
1579530408,-37.33,-5.73
1579530418,-36.07,-6.27
1579530428,-37.51,-6.63
1579530438,-35.65,-8.67
1579530448,-34.41,-5.55
1579530459,-35.29,-5.47
1579530469,-40.91,-6.19
1579530489,-36.19,-6.81
1579530499,-37.93,-5.65
1579530509,-38.05,-5.77
1579530519,-40.09,-7.27
1579530530,-38.55,-5.03
1579530540,-39.65,-5.81
1579530550,-40.15,-6.97
1579530560,-40.35,-5.89
1579530570,-36.97,-5.77
1579530580,-37.75,-5.65
1579530591,-36.43,-5.61
1579530601,-36.25,-5.43
1579530611,-35.71,-5.65
1579530621,-35.65,-4.89
1579530631,-37.93,-5.65
1579530641,-37.15,-6.09
1579530652,-35.95,-6.89
1579530662,-38.23,-5.93
1579530672,-37.75,-5.85
1579530682,-38.17,-6.59
1579530692,-37.75,-6.51
1579530702,-38.61,-6.13
1579530713,-39.15,-7.49
1579530723,-38.61,-6.81
1579530733,-35.47,-5.89
1579530743,-38.29,-7.05
1579530753,-39.09,-7.83
1579530763,-37.51,-7.31
1579530774,-37.87,-6.43
1579530784,-34.19,-5.43
1579530794,-34.59,-6.43
1579530804,-34.77,-5.97
1579530814,-34.59,-6.97
1579530824,-38.35,-9.41
1579530835,-37.33,-9.93
1579530875,-39.29,-9.75
1579530885,-38.05,-9.67
1579530895,-38.43,-8.59
1579530905,-44.01,-9.41
1579530915,-39.09,-8.51
1579530926,-37.99,-9.49
